time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-03-30T12:45:15.090Z,30.6379,57.2685,10,4.4,mb,,53,5.623,0.85,us,us1000dbdh,2018-06-22T21:32:16.040Z,"43km NNE of Kerman, Iran",earthquake,8.5,1.9,0.083,42,reviewed,us,us
2018-03-21T22:26:01.990Z,27.6181,56.6133,10,4.1,mb,,109,2.687,0.67,us,us1000d79q,2018-06-19T01:35:47.040Z,"58km NE of Bandar 'Abbas, Iran",earthquake,6.7,1.9,0.105,25,reviewed,us,us
2018-03-21T20:41:19.850Z,27.5785,56.6061,10,5,mb,,43,2.647,0.6,us,us1000d764,2018-06-19T01:35:46.040Z,"54km NE of Bandar 'Abbas, Iran",earthquake,5.5,1.9,0.045,156,reviewed,us,us
2018-03-21T12:33:09.960Z,27.6073,56.6414,10,4.7,mb,,58,2.68,0.59,us,us1000d71c,2018-06-19T01:35:46.040Z,"58km NE of Bandar 'Abbas, Iran",earthquake,5.9,1.8,0.062,80,reviewed,us,us
2018-03-16T07:24:18.560Z,31.8677,56.7334,10,4.6,mb,,69,5.261,0.98,us,us1000d54q,2018-06-11T21:53:47.040Z,"67km N of Ravar, Iran",earthquake,7.6,1.9,0.076,51,reviewed,us,us
2018-03-12T07:35:32.240Z,28.1387,57.3942,10,4.9,mb,,50,3.354,1.25,us,us1000d3ay,2018-06-11T21:53:41.040Z,"114km NNE of Minab, Iran",earthquake,7.4,1.9,0.047,140,reviewed,us,us
2018-03-07T14:50:19.720Z,27.8892,57.5886,35,4.8,mb,,55,3.183,1.33,us,us1000d4tg,2018-06-08T05:12:13.040Z,"96km NNE of Minab, Iran",earthquake,7.3,2,0.071,61,reviewed,us,us
2018-03-07T14:46:13.050Z,28.0261,57.6064,35.46,5.2,mww,,67,3.315,0.93,us,us2000ddrw,2018-06-08T05:12:13.040Z,"110km NNE of Minab, Iran",earthquake,7.6,6.1,0.075,17,reviewed,us,us
2018-02-25T20:15:45.690Z,27.6649,56.5507,10,4.6,mb,,93,2.726,0.76,us,us2000d7s8,2018-05-22T02:00:27.040Z,"59km NNE of Bandar 'Abbas, Iran",earthquake,6.5,1.9,0.062,78,reviewed,us,us
2018-02-19T13:56:46.060Z,30.7687,57.2832,10,4.4,mb,,108,5.526,0.69,us,us2000d9nc,2018-05-22T02:00:17.040Z,"57km NNE of Kerman, Iran",earthquake,9,1.9,0.13,17,reviewed,us,us
2018-02-09T05:08:40.660Z,30.664,57.2224,10,4.1,mb,,97,5.635,1.04,us,us2000czbz,2018-05-03T22:15:05.040Z,"44km NNE of Kerman, Iran",earthquake,6,1.8,0.124,18,reviewed,us,us
2018-02-05T23:49:41.970Z,30.7167,57.2282,10,4.4,mb,,52,5.596,0.73,us,us1000cgsk,2018-05-03T22:14:58.040Z,"50km NNE of Kerman, Iran",earthquake,7.3,1.9,0.066,67,reviewed,us,us
2018-02-05T14:16:39.220Z,30.7545,57.1558,10,4.1,mb,,121,5.617,0.76,us,us2000d2q2,2018-05-03T22:14:58.040Z,"52km N of Kerman, Iran",earthquake,7.2,1.8,0.197,7,reviewed,us,us
2018-01-25T17:17:35.760Z,27.3526,57.3794,10,4.2,mb,,82,2.619,1.23,us,us2000cpcm,2018-04-20T07:05:23.040Z,"37km NE of Minab, Iran",earthquake,6,1.8,0.121,19,reviewed,us,us
2018-01-12T03:03:35.370Z,30.6837,57.2632,10,4.2,mb,,94,5.596,0.58,us,us2000ciq0,2018-04-03T01:40:27.040Z,"47km NNE of Kerman, Iran",earthquake,5.5,1.9,0.137,15,reviewed,us,us
2018-01-11T13:35:33.530Z,30.7018,57.2571,10,4.9,mb,,118,5.587,0.98,us,us2000ci9b,2018-04-03T01:40:26.040Z,"49km NNE of Kerman, Iran",earthquake,7.5,1.8,0.055,104,reviewed,us,us
2018-01-11T03:18:30.200Z,30.7268,57.3359,10,5,mb,,37,5.521,0.69,us,us2000ci2b,2018-04-03T01:40:25.040Z,"55km NNE of Kerman, Iran",earthquake,3.3,1.8,0.043,178,reviewed,us,us
2018-01-03T20:42:32.460Z,31.6357,56.157,10,4,mb,,76,5.802,1.39,us,us1000c0xy,2018-03-23T23:16:49.040Z,"70km E of Bafq, Iran",earthquake,7.5,1.9,0.108,23,reviewed,us,us
2018-01-03T04:13:12.610Z,30.7725,57.3872,10,4.6,mb,,76,5.457,0.83,us,us1000bz89,2018-03-23T23:16:49.040Z,"61km NNE of Kerman, Iran",earthquake,8.4,1.9,0.071,60,reviewed,us,us
