date,time,latitude,longitude,depth,mag
2014/06/30,3:48:46 AM,32.183,58.978,9.5,4.2
2014/06/28,6:45:40 PM,32.0932,58.9991,10.27,4.4
2014/06/18,12:29:42 AM,29.038,58.332,19.1,3.7
2014/06/11,6:06:34 AM,28.427,57.044,8,3.9
2014/06/02,10:51:16 PM,27.76,57.22,14,4.9
2014/05/27,5:44:30 AM,26.543,55.905,14.3,5.1
2014/05/12,4:42:24 PM,28.2929,58.183,10,4.1
2014/05/09,6:17:25 AM,27.92,57.47,14.1,4.2
2014/05/09,12:08:45 AM,27.903,57.52,20,4.6
2014/04/05,12:16:31 PM,30.921,56.597,14,4.1
2014/04/01,6:40:19 AM,28.295,57.82,10,4.2
2014/04/01,6:37:20 AM,28.1307,57.7307,10,4.4
2014/03/16,2:34:40 PM,28.1882,57.6362,10,4.5
2014/03/12,8:21:59 PM,28.336,57.069,10,4.3
2014/02/26,8:08:05 AM,27.645,58.147,36,3.9
2014/02/22,5:29:10 PM,28.176,56.898,15,4.3
2014/02/07,7:43:31 PM,26.5274,57.6187,10.02,4.2
2014/02/03,7:00:29 PM,26.722,57.78,12.2,4.3
2014/02/02,6:15:45 PM,28.28,57.09,16,4.3
2014/02/02,2:46:42 PM,26.4447,57.3909,10,4
2014/02/02,2:46:11 PM,26.5921,57.5129,10,4
2014/02/02,2:26:46 PM,26.5886,57.7412,10,5.3
2013/12/26,12:44:27 AM,30.3,57.47,18,3.8
2013/11/27,7:25:43 AM,26.8555,56.936,10.72,4.5
2013/11/20,8:20:21 AM,27.406,56.167,17.3,4.3
2013/11/07,11:38:52 PM,26.55,57.5,12,4.1
2013/10/08,2:52:08 AM,27.195,55.92,10,4.8
2013/10/04,6:17:29 PM,32.9945,58.9102,19.33,4.8
2013/09/26,1:16:23 AM,31.111,59.6699,10.29,4.3
2013/09/25,4:18:37 PM,27.74,57.57,21,4.5
2013/09/21,6:27:46 AM,28.47,57.15,12,4.1
2013/09/17,4:19:41 PM,26.5581,55.7239,10,4.2
2013/08/27,10:00:42 PM,32.758,56.499,8,4.7
2013/08/25,1:56:33 PM,30.5909,57.0748,10,4.3
2013/08/15,8:08:41 PM,32.904,56.241,7.7,4.1
2013/08/10,12:08:00 PM,33.8,56.67,11,4.4
