date,latitude,longitude,depth,mag
2015/06/12 6:57:52,28.253,57.211,8,4.5
2015/06/07 23:56:04,27.7988,55.1304,10,4
2015/05/13 20:27:17,27.8642,57.5417,10,4.3
2015/05/08 3:27:01,32.145,55.827,5.9,4.1
2015/04/20 20:37:33,28.509,57.185,10,4.2
2015/04/01 16:59:03,29.2003,59.6857,10,4.7
2015/03/30 7:04:04,32.138,55.807,8,4.3
2015/03/29 4:16:18,27.024,57.638,14.2,4.9
2015/03/10 21:32:29,26.475,58.108,20.5,4.1
2015/03/08 18:43:32,30.03,56.53,12,3.9
2015/03/05 22:54:49,28.0428,56.8139,10,5.2
2015/03/05 19:31:12,27.5409,56.1407,10,4
2015/02/18 17:28:53,27.417,56.253,10,4.1
2015/02/17 13:41:38,30.0389,57.6596,10,4.5
2015/02/13 1:00:44,30.178,57.584,10,3.9
2015/02/02 14:07:40,27.4635,56.1742,10,4.3
2015/01/27 21:07:24,27.464,56.19,10,4.3
2015/01/25 20:11:19,27.46,56.19,9,5
2014/12/08 22:34:05,28.145,56.955,12,4
2014/12/08 6:38:18,27.506,56.209,14.2,4.3
2014/12/05 0:20:27,28.409,57.0677,10,4.2
2014/12/03 21:22:04,28.337,55.553,14.3,4.1
2014/11/23 13:18:00,26.47,56.59,16,4.9
2014/11/16 5:13:04,28.339,56.518,10,4.7
2014/11/15 19:56:21,28.239,55.381,15,4.7
2014/11/11 10:05:42,27.897,55.937,8,5
2014/11/10 13:52:37,27.9023,55.857,10,5.4
2014/11/06 18:43:30,27.064,55.123,1.5,4.8
2014/10/24 12:38:56,27.772,57.4,23.8,5.3
2014/10/21 22:47:03,27.543,57.465,24.6,4.3
2014/10/15 21:31:44,28.262,55.408,8.3,4.4
2014/09/24 18:44:11,27.729,57.649,9.6,4.3
2014/09/24 14:25:45,26.867,55.7885,10,4.6
2014/09/24 14:22:22,26.8919,55.7594,10,4.1
2014/09/22 6:26:07,30.6864,57.0986,20.12,3.8
2014/09/13 19:42:44,32.305,55.825,5,4.2
2014/09/05 1:13:59,27.672,56.768,13.3,4
2014/08/31 12:14:42,27.704,57.6986,10,4.4
2014/07/26 10:48:40,26.724,57.192,9,3.8
2014/07/22 15:22:39,27.6039,57.3339,10,5.1
